Average Rank,Film,Year
17,Parasite,2019
18,Schindler's List,1993
19,Lord of the Rings: The Fellowship of the Ring,2001
20,Shawshank Redemption,1994
22,Pulp Fiction,1994
23,Avengers: Endgame,2019
26,Goodfellas,1990
27,Raiders of the Lost Ark,1981
29,The Silence of the Lambs,1991
31,Saving Private Ryan,1998
32,E.T. the Extra Terrestrial,1982
34,Spider-Man: Into the Spider-verse,2018
35,Blade Runner,1982
37,The Dark Knight,2008
41,Mad Max: Fury Road,2015
42,Inception,2010
43,Lord of the Rings: Return of the King,2003
44,The Matrix,1999
45,Fight Club,1999
46,Back to the Future,1985
49,Lord of the Rings: The Two Towers,2002
52,Terminator 2: Judgement Day,1991
53,Se7en,1995
55,Interstellar,2014
59,Avengers: Infinity War,2018
60,Gladiator,2000
62,Get Out,2017
63,Moonlight,2016
64,Spirited Away,2001
65,Lady Bird,2017
66,Aliens,1986
67,Forrest Gump,1994
69,Black Panther,2018
70,Whiplash,2014
76,Mulholland Drive,2001
77,In the Mood for Love,2000
78,A Quiet Place,2018
80,Coco,2017
82,The Usual Suspects,1995
86,Logan,2017
87,Thor: Ragnarok,2017
88,L̩on: The Professional,1994
90,Eternal Sunshine of the Spotless Mind,2004
91,Arrival,2016
92,Portrait of a Lady on Fire,2020
95,La La Land,2016
97,Inglourious Basterds,2009
101,Star Wars: Return of the Jedi,1983
103,LA Confidential,1997
104,Titanic,1997
